datehour,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station_number,latitude,longitude,elevation,pw
2021062912,801.4,2134,15.7,0.3,270.0,3.0,3.0,0.0,72403,38.98,-77.46,93.0,32.26
2021063000,814.0,1979,17.2,9.2,258.0,10.0,9.781476,2.079117,72403,38.98,-77.46,93.0,32.44
2021063012,989.0,263,26.6,16.6,271.0,7.0,6.998934,-0.122167,72403,38.98,-77.46,93.0,34.92
2021070100,1000.0,138,24.6,20.1,270,7,7.0,0.0,72403,38.98,-77.46,93.0,47.8
2021070212,998.0,93,20.8,19.8,200.0,3.0,1.02606,2.819078,72403,38.98,-77.46,93.0,40.44
2021070300,719.0,2835,0.6,-2.0,296.0,27.0,24.267439,-11.836021,72403,38.98,-77.46,93.0,19.46
2021070412,717.0,2891,2.2,-3.9,315.0,22.0,15.556349,-15.556349,72403,38.98,-77.46,93.0,22.39
2021070512,732.0,2788,5.4,-0.6,323.0,12.0,7.22178,-9.583626,72403,38.98,-77.46,93.0,27.06
2021070600,735.0,2793,12.4,-3.6,16.0,17.0,-4.685835,-16.341449,72403,38.98,-77.46,93.0,26.3
2021070612,824.7,1829,17.4,6.8,300.0,9.0,7.794229,-4.5,72403,38.98,-77.46,93.0,36.3
